CondA_SRR3105699	CondA_SRR3105698	CondA_SRR3105697	CondB_SRR3099587	CondB_SRR3099586	CondB_SRR3099585
ostta01g06000	265	500	375	195	106	130
ostta01g06010	575	1239	356	350	265	16
ostta01g06020	454	1123	428	314	356	751
ostta01g06030	1	2	2	2	0	1
ostta01g06040	2	7	2	2	1	0
ostta01g06050	336	818	303	599	721	239
ostta01g06060	432	965	475	1106	1232	998
ostta01g06070	82	170	87	114	122	96
ostta01g06080	377	791	438	590	427	104
ostta01g06090	26	49	27	43	32	36
ostta01g06100	266	720	294	570	519	928
ostta01g06110	1498	4249	1205	1572	1322	937
ostta01g06120	405	1026	259	299	238	13
ostta01g06130	2	10	5	4	0	1
ostta01g06140	42	120	69	105	101	23
ostta01g06150	586	1420	777	1129	693	19
ostta01g06160	191	465	233	313	239	172
ostta01g06170	80	125	98	54	53	60
ostta01g06180	12	22	21	21	23	29
ostta01g06190	142	306	127	315	201	190
ostta01g06200	373	1048	275	282	200	31
ostta01g06210	22	58	45	40	47	13
ostta01g06220	652	1525	586	840	932	693
ostta01g06230	743	1484	753	1800	1188	1881
ostta01g06240	655	1095	648	427	377	1892
ostta01g06250	26	60	45	32	36	41
ostta01g06260	43	55	48	44	46	41
ostta01g06270	129	213	160	219	217	260
ostta01g06280	47	77	64	89	72	21
ostta01g06290	58	117	74	117	103	54
ostta01g06310	231	541	320	523	399	785
ostta01g06320	478	1472	474	751	824	855
ostta01g06330	627	1249	536	753	861	654
ostta01g06340	192	430	288	434	352	68
ostta01g06350	4	8	8	19	5	0
ostta01g06360	4	8	9	2	0	0
ostta01g06370	656	1023	823	653	552	485
ostta01g06380	123	393	150	140	124	5
ostta01g06390	503	1189	560	536	433	32
ostta01g06400	311	611	304	266	164	510
ostta01g06410	179	375	123	325	337	65
ostta01g06420	144	273	121	128	81	10
ostta01g06430	61	90	42	49	32	70
ostta01g06440	176	384	178	306	195	229
ostta01g06450	38	73	55	60	57	62
ostta01g06460	35	58	37	78	43	32
ostta01g06465	18	52	26	30	23	30
ostta01g06470	90	200	65	84	82	22
ostta01g06490	1911	5677	1636	3102	2095	3064
ostta01g06500	163	276	168	272	265	196
ostta01g06510	131	213	194	175	194	187
ostta01g06520	2	5	6	0	3	1
ostta01g06530	128	308	157	197	149	88
ostta01g06540	153	347	132	219	165	126
ostta01g06545	27	57	67	92	93	49
ostta01g06550	62	101	89	88	105	58
ostta01g06555	52	103	108	135	118	66
ostta01g06560	108	301	118	186	149	104
